ID,EBITDA (Initial),EV Multiple (Initial),IC Combined (Initial),LTV (Initial),Total Net Leverage (Initial),Security,Thesis Default
0,300000000.0,30.0,0.1,0.1,2.0,First Lien or Unitranche,0
1,299409698.9966555,29.93896321070234,0.10558528428093646,0.10074581939799332,2.003377926421405,First Lien or Unitranche,0
2,298819397.99331105,29.877926421404684,0.11117056856187292,0.10149163879598663,2.0067558528428093,First Lien or Unitranche,0
3,298229096.9899665,29.816889632107024,0.11675585284280937,0.10223745819397993,2.010133779264214,First Lien or Unitranche,0
4,297638795.9866221,29.755852842809364,0.12234113712374582,0.10298327759197325,2.0135117056856187,First Lien or Unitranche,0
5,297048494.98327756,29.694816053511705,0.12792642140468227,0.10372909698996656,2.0168896321070235,First Lien or Unitranche,0
6,296458193.97993314,29.63377926421405,0.13351170568561874,0.10447491638795987,2.020267558528428,First Lien or Unitranche,0
7,295867892.9765886,29.57274247491639,0.13909698996655517,0.10522073578595319,2.023645484949833,First Lien or Unitranche,0
8,295277591.97324413,29.51170568561873,0.14468227424749164,0.10596655518394649,2.0270234113712373,First Lien or Unitranche,0
9,294687290.96989965,29.45066889632107,0.1502675585284281,0.1067123745819398,2.030401337792642,First Lien or Unitranche,0
10,294096989.9665552,29.389632107023413,0.15585284280936457,0.10745819397993311,2.0337792642140466,First Lien or Unitranche,0
11,293506688.9632107,29.328595317725753,0.161438127090301,0.10820401337792643,2.0371571906354515,First Lien or Unitranche,0
12,292916387.9598662,29.267558528428093,0.16702341137123747,0.10894983277591974,2.040535117056856,First Lien or Unitranche,0
13,292326086.95652175,29.206521739130434,0.1726086956521739,0.10969565217391304,2.043913043478261,First Lien or Unitranche,0
14,291735785.9531772,29.145484949832777,0.17819397993311037,0.11044147157190635,2.0472909698996657,First Lien or Unitranche,0
15,291145484.9498328,29.084448160535118,0.18377926421404683,0.11118729096989967,2.05066889632107,First Lien or Unitranche,0
16,290555183.94648826,29.023411371237458,0.1893645484949833,0.11193311036789298,2.054046822742475,First Lien or Unitranche,0
17,289964882.94314384,28.962374581939798,0.19494983277591973,0.11267892976588628,2.0574247491638795,First Lien or Unitranche,0
18,289374581.9397993,28.901337792642142,0.2005351170568562,0.1134247491638796,2.0608026755852844,First Lien or Unitranche,0
19,288784280.93645483,28.840301003344482,0.20612040133779264,0.11417056856187291,2.064180602006689,First Lien or Unitranche,0
20,288193979.93311036,28.779264214046822,0.2117056856187291,0.11491638795986622,2.0675585284280937,First Lien or Unitranche,0
21,287603678.9297659,28.718227424749163,0.21729096989966556,0.11566220735785954,2.070936454849498,First Lien or Unitranche,0
22,287013377.9264214,28.657190635451506,0.22287625418060203,0.11640802675585285,2.074314381270903,First Lien or Unitranche,1
23,286423076.9230769,28.596153846153847,0.22846153846153847,0.11715384615384615,2.0776923076923075,First Lien or Unitranche,0
